"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,148301184
2019,3,148297245
2019,5,148298071
2019,1,132869869
2019,8,132870247
2019,6,132865744
2019,3,132877268
2019,12,137370875
2019,6,137376213
2019,6,137370964
2019,6,137370968
2019,6,137370991
2019,6,137371019
2019,6,137376335
2019,6,137376353
2019,8,137376401
2019,6,137376429
2019,6,137376537
2019,3,137381338
2019,3,137381341
2019,9,137376588
2019,8,137376600
2019,6,137376598
2019,6,137376622
2019,6,137376629
2019,3,137376707
2019,9,137376706
2019,9,137376720
2019,9,137376754
2019,9,137376750
2019,9,137376768
2019,4,137376835
2019,6,137376856
2019,9,137381602
2019,9,137376933
2019,9,137376963
2019,9,137381700
2019,9,137376994
2019,9,137381773
2019,8,137377054
2019,6,132819847
2019,9,132815728
2019,3,132816108
2019,6,132872547
2019,6,132764651
2019,8,132764651
2019,9,132820939
2019,9,132815384
2019,8,132828022
2019,6,132816031
2019,6,136694252
2019,9,136694385
2019,9,136694682
2019,6,136702540
2019,6,136702676
2019,9,136699780
2019,6,136699820
2019,6,136699822
2019,3,136703335
2019,12,132872648
2019,9,132873322
2019,3,132874400
2019,6,132873004
2019,7,132873004
2019,8,132873004
2019,6,132876605
2019,6,132865673
2019,6,132877019
2019,6,143308914
2019,3,143308918
2019,9,143305612
2019,9,143309023
2019,6,143309021
2019,9,143309025
2019,9,143311299
2019,9,143305591
2019,6,143309128
2019,9,132755329
2019,9,132869893
2019,3,132873320
2019,9,132759242
2019,12,138652871
2019,9,138652882
2019,7,138652937
2019,3,138650596
2019,6,138656273
2019,9,138656445
2019,9,138652891
2019,9,138650571
2019,9,138653070
2019,9,138653193
2019,9,138656366
2019,5,138650721
2019,3,138653387
2019,6,138653393
2019,6,138650427
2019,1,148301421
2019,9,138656249
2019,9,138656289
2019,12,138656299
2019,9,138653188
2019,9,138650690
2019,9,138650697
2019,9,138653219
2019,3,138650702
2019,6,138650819
2019,9,138650520
2019,6,138656417
2019,6,138653324
2019,9,138650490
2019,6,138656278
2019,9,138653125
2019,9,138653150
2019,6,138650647
2019,3,138656378
2019,6,138656404
2019,9,138651051
2019,9,138653054
