"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,136096595,119753521,2,5,22,"F",1,,22,0
2019,136096594,119753521,1,5,35,"M",1,2,35,0
2019,136088765,119753522,1,5,45,"F",1,,45,0
2019,136088766,119753522,2,5,23,"F",1,2,23,0
2019,136088767,119753522,3,5,23,"M",1,,23,0
2019,136088792,119757770,1,5,22,"F",1,,22,0
2019,136093649,119753535,0,,,"",,,,
2019,136093662,119757794,0,,,"",,,,
2019,136088822,119745708,0,,,"",,,,
2019,136093670,119753547,1,5,43,"F",1,2,43,0
2019,136096634,119753564,0,,,"",,,,
2019,136096645,119753575,0,,,"",,,,
2019,136093715,119753578,0,,,"",,,,
2019,136096676,119753604,0,,,"",,,,
2019,136096679,119753608,0,,,"",,,,
2019,136096688,119753616,1,5,56,"M",1,2,56,0
2019,136096692,119753621,1,5,16,"M",1,2,16,0
2019,136088926,119753623,1,5,56,"M",1,2,56,0
2019,136096709,119753640,0,,,"",,,,
2019,136096721,119753654,0,,,"",,,,
2019,136096724,119753657,1,5,14,"M",1,,14,0
2019,136093905,119758015,1,5,25,"M",2,,25,0
2019,136096732,119753664,0,,,"",,,,
2019,136096736,119753668,0,,,"",,,,
2019,136096599,119753526,0,,,"",,,,
2019,136093634,119753529,0,,,"",,,,
2019,136093648,119757777,0,,,"",,,,
2019,136096614,119753543,0,,,"",,,,
2019,136096618,119753546,0,,,"",,,,
2019,136096621,119753548,0,,,"",,,,
2019,136093678,119753551,0,,,"",,,,
2019,136093679,119753552,0,,,"",,,,
2019,136093686,119753556,1,5,36,"F",1,2,36,0
2019,136093687,119753557,0,,,"",,,,
2019,136096630,119753560,1,5,16,"F",1,2,16,0
2019,136093697,119757828,1,5,50,"M",1,2,50,0
2019,136093698,119757828,2,5,45,"F",4,2,45,0
