"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,123908000,112400732,1,1,,,,,,"",,,"",,
2019,123904623,112400744,2,4,,,,5,51,"F",1,2,"",51,0
2019,123904621,112400744,1,4,,,,5,54,"M",1,2,"R",54,0
2019,123908014,112400744,3,8,,,,,,"",,,"",,
2019,123903466,112402111,1,4,,,,5,54,"M",1,,"",54,0
2019,123903471,112402117,1,1,,,,,,"",,,"",,
2019,123903475,112402119,1,1,,,,,,"",,,"",,
2019,123903481,112402127,1,8,,,,,,"",,,"",,
2019,123906866,112399683,1,4,,,,5,26,"M",1,,"R",26,0
2019,123906869,112402141,1,4,,,,5,71,"M",1,,"R",71,0
2019,123903504,112402147,1,4,,,,5,50,"M",1,,"R",50,0
2019,123903512,112399698,1,4,,,,5,45,"M",1,,"",45,0
2019,123906892,112399707,1,4,,,,5,62,"M",1,,"R",62,0
2019,123906881,112402153,1,4,,,,5,65,"M",1,,"",65,0
2019,123903528,112402167,1,4,,,,5,81,"F",1,,"N",81,0
2019,123906899,112402173,1,4,,,,5,35,"M",1,2,"",35,0
2019,123906914,112402179,1,4,,,,5,32,"M",1,2,"",32,0
2019,123903547,112402182,1,4,,,,5,71,"M",1,,"N",71,0
2019,123903572,112402204,1,4,,,,5,57,"F",1,2,"R",57,0
2019,123906967,112402215,1,4,,,,5,62,"M",1,2,"R",62,0
2019,123906980,112399786,1,4,,,,5,32,"F",1,,"",32,0
2019,123903608,112399827,1,4,,,,5,30,"F",1,,"R",30,0
2019,123906919,112402185,1,4,,,,5,46,"M",1,2,"R",46,0
2019,123903627,112402261,1,4,,,,5,31,"F",1,,"",31,0
2019,123907151,112399928,1,4,,,,5,21,"M",1,,"",21,0
2019,123903644,112402281,1,4,,,,5,6,"F",1,,"",6,0
2019,123903663,112399943,1,8,,,,,,"",,,"",,
2019,123907177,112402305,1,4,,,,5,41,"M",1,2,"",41,0
2019,123907183,112402313,1,4,,,,5,30,"F",1,2,"",30,0
2019,123903700,112402338,1,4,,,,5,69,"F",1,,"",69,0
2019,123903712,112402350,1,1,,,,,,"",,,"",,
2019,123903716,112399981,1,4,,,,5,59,"M",1,,"",59,0
2019,123903726,112402362,1,4,,,,5,22,"M",1,,"",22,0
2019,123903754,112402388,1,8,,,,,,"",,,"",,
