"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,128255553,133042670,27,40042120
2019,128262712,133057815,24,40042121
2019,128262780,133057881,21,40047871
2019,128262831,133042685,1,40042129
2019,128262831,133057934,1,39985052
2019,128262855,133057955,1,39985056
2019,128255671,133042788,1,39985110
2019,128268536,133042815,3,40042172
2019,128268727,133042822,21,40042180
2019,128268885,133058947,17,40048309
2019,128268887,133058947,19,40048310
2019,128268890,133058947,19,40048312
2019,128268909,133058969,1,40048317
2019,128268920,133058979,1,40048318
2019,128269335,133059398,16,39985183
2019,127212398,131870205,17,39610351
2019,127228102,131870205,11,39610352
2019,127228116,131870224,4,39621179
2019,127212524,131870312,1,39610386
2019,127212708,131870483,16,39610436
2019,127212386,131865859,1,39610349
2019,127212389,131862477,9,39624727
2019,127212433,131862520,18,39610360
2019,127212458,131862540,5,39624745
2019,127212461,131862546,19,39610366
2019,127228259,131866033,3,39621214
2019,127212567,131866083,18,39610396
2019,127212568,131870353,18,39610399
2019,127212568,131866083,18,39610398
2019,127212567,131870353,18,39610397
2019,127212669,131862676,3,39610425
2019,127228436,131866215,1,39610426
2019,127226464,131870473,3,39624781
2019,127212790,131862776,16,39610450
2019,127228746,131862993,16,39610490
2019,127233010,131870809,24,39610492
2019,127228868,131870949,16,39621342
2019,127233201,131871014,16,39610536
2019,127233226,131863223,1,39610545
2019,130301877,135140894,16,40850137
2019,130301950,135140960,1,40850154
2019,130317744,135134751,3,40854278
2019,130317794,135147745,1,40854305
2019,130301992,135141010,24,40850167
2019,130302025,135141036,24,40850179
2019,130302030,135141037,26,40850180
2019,130325672,135141063,1,40864105
2019,127212418,131870219,3,39610354
2019,127212817,131862804,1,39610457
2019,127228566,131870597,18,39610460
2019,127228567,131870598,18,39624806
2019,127228567,131870597,18,39621275
2019,127228566,131870598,18,39610459
2019,127226681,131862914,16,39624827
2019,127233217,131871030,24,39610544
2019,127226281,131862502,3,39624735
2019,127212419,131862507,1,39621178
2019,127212426,131862514,1,39610357
2019,127212438,131870234,1,39610362
2019,127228213,131870296,3,39610378
2019,127228247,131866023,16,39621210
2019,127228247,131866024,25,39610384
2019,127228246,131866023,25,39624759
2019,127228246,131866024,16,39621209
2019,127228419,131870446,9,39624779
2019,127212663,131866198,16,39621253
2019,127228503,131862735,16,39621270
2019,127212452,131870249,5,39610365
2019,127228139,131870255,24,39624742
2019,127228139,131862536,24,39621184
2019,127228150,131865916,1,39621186
2019,127228460,131866233,3,39621262
2019,127232983,131870777,3,39610479
2019,127228114,131870221,1,39624738
2019,127212476,131870270,5,39610370
2019,127228183,131865951,3,39621192
2019,127212611,131870392,18,39610411
2019,127212797,131870566,24,39610452
2019,127212798,131870566,16,39610453
2019,127212799,131870566,16,39610454
2019,127212808,131870578,16,39610455
2019,127212886,131866420,27,39610468
2019,127212444,131862524,1,39610363
2019,127226319,131862555,24,39624748
2019,127226413,131870336,21,39621223
2019,127228339,131866121,3,39621238
2019,127226441,131862661,16,39624776
2019,127212628,131866158,16,39610418
2019,127228580,131870603,1,39621276
2019,127232913,131862897,3,39624819
2019,127226746,131870774,27,39624840
2019,127226931,131866647,1,39624882
2019,127226960,131870969,15,39621345
2019,127226959,131870969,19,39624891
2019,127212531,131866029,8,39624761
2019,127233014,131870811,16,39610494
2019,127233065,131870876,16,39610504
2019,127233081,131870890,24,39610510
2019,127226902,131863102,19,39624875
2019,127226901,131863102,17,39624874
2019,127228871,131863142,18,39624884
2019,127212427,131870223,20,39610358
2019,127212572,131866088,17,39610400
2019,127226432,131870363,25,39621230
2019,127212576,131870363,16,39624773
2019,127212576,131870362,25,39610403
2019,127226432,131870362,16,39621229
2019,127212583,131866098,15,39624774
2019,127228457,131870484,5,39621260
2019,127226528,131866294,21,39624798
2019,127212835,131870607,1,39610462
2019,127226592,131862834,19,39624811
2019,127232920,131866448,5,39621292
2019,127226741,131870768,1,39610477
2019,127233027,131870824,3,39610497
2019,127226870,131866597,1,39610517
2019,127233103,131866598,1,39624866
2019,127226870,131863074,1,39624864
2019,127233103,131866597,25,39610518
2019,127226870,131866598,25,39624865
2019,127233149,131870952,21,39610526
2019,127233176,131870991,1,39610530
2019,127228885,131863165,3,39610531
2019,127228921,131866701,16,39626359
2019,127233234,131871044,3,39610547
2019,127212647,131870434,3,39610421
2019,127212690,131870466,16,39610432
2019,127212686,131870466,14,39610428
2019,127212688,131870466,16,39610430
2019,127212689,131870466,16,39610431
2019,127212687,131870466,16,39610429
2019,127232908,131862893,24,39610470
2019,127226653,131870687,17,39624818
2019,127226654,131870687,1,39624820
2019,127226425,131870347,18,39624771
2019,127228313,131866089,1,39610401
2019,127228314,131866089,1,39621228
2019,127228377,131870414,24,39621243
2019,127228376,131870414,24,39621242
2019,127228379,131870414,24,39621245
2019,127212656,131866181,5,39621251
2019,127212661,131866191,24,39610423
2019,127212679,131870458,16,39621254
2019,127212679,131870459,16,39610427
2019,127212787,131866301,16,39610449
2019,127226678,131870718,1,39624825
2019,127226677,131870718,18,39624824
2019,127228808,131866584,3,39621323
2019,127212737,131870514,16,39610440
2019,127212840,131866363,1,39610463
2019,127226753,131870789,25,39621300
2019,127226754,131870793,25,39624843
2019,127226753,131870790,1,39621299
2019,127232996,131870789,1,39610486
2019,127226754,131870790,1,39624842
2019,127232996,131870793,1,39610488
2019,127232996,131870790,25,39610489
2019,127233031,131866534,6,39610499
2019,127226812,131870855,24,39610501
2019,127228847,131863099,16,39621334
2019,127212782,131870557,16,39610448
2019,127228552,131866320,3,39610456
2019,127232928,131866455,17,39610471
2019,127228740,131862990,3,39621301
2019,127233074,131866569,24,39610507
2019,127228803,131866577,25,39621319
2019,127228805,131866577,21,39624862
2019,127228803,131866576,21,39624861
2019,127228805,131866576,25,39621320
2019,127233086,131870894,1,39610511
2019,127226919,131863117,19,39624878
2019,127226916,131863117,17,39610523
2019,127226918,131863117,19,39624877
2019,127233185,131863183,5,39610533
2019,127227034,131871012,19,39610535
