"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,136041490,6,1821,,152774518
2020,136041634,9,0,,152774662
2020,136041693,20,300,,152774728
2020,136046422,3,300,,152774729
2020,126929275,35,100,,141103344
2020,126929198,6,20,,141108027
2020,129197240,63,100,,143964655
2020,129200972,66,500,,143967880
2020,129197445,13,1550,,143964892
2020,127665678,38,1000,,142045071
2020,127663871,42,50,,142045387
2020,127666025,25,30,,142039793
2020,129200989,63,558,,143964732
2020,129200998,38,20,,143967908
2020,129201014,7,200,,143967925
2020,129201014,30,250,,143964772
2020,129201014,63,100,,143967927
2020,129201047,38,250,,143967969
2020,129201087,9,0,,143968010
2020,129201124,35,500,,143968059
2020,129200932,25,12,,143964668
2020,129200932,6,10,,143964669
2020,129200932,19,10,,143964670
2020,129197256,39,650,,143964674
2020,129197257,4,1000,,143964675
2020,129200948,52,0,,143967861
2020,129201009,26,200,,143964764
2020,129201009,54,200,,143964765
2020,129197348,20,2000,,143967944
2020,129197338,16,100,,143964773
2020,129201066,62,75,,143967989
2020,129201066,63,200,,143967988
2020,129201121,20,1800,,143968047
2020,129197437,10,,,143968069
2020,136045548,17,1725,,152773727
2020,136045595,4,371,,152772047
2020,136045597,4,1,06-AUG-20,152772050
2020,136045630,10,60,,152773806
2020,136045658,63,500,,152773820
2020,136040892,63,100,,152772121
2020,136040891,3,1000,,152773822
2020,136045668,37,1000,,152773823
2020,136040917,20,100,,152773849
2020,129200909,63,375,,143967822
2020,129197238,16,50,,143967831
2020,129197258,10,,,143964676
2020,129200944,52,0,,143964690
2020,129200952,52,0,,143964698
2020,129197326,20,34,,143967915
2020,129197326,43,2000,,143967912
2020,129201018,10,20,,143967931
2020,129197361,37,50,,143967962
2020,129197390,16,1080,,143964817
2020,129197390,63,1000,,143964818
2020,129197390,17,225,,143964819
2020,129197390,6,20,,143964822
2020,129197390,7,26,,143964821
2020,129197390,8,100,,143964820
2020,129201061,20,150,,143967983
2020,129197413,52,0,,143964846
2020,129201139,3,200,,143968074
2020,129197315,38,6,,143964739
2020,129197371,42,500,,143964800
2020,129197378,8,9,,143967971
2020,129201060,10,,,143967981
2020,129201108,24,900,,143968034
2020,129201112,24,900,25-APR-20,143968041
2020,129197278,63,100,,143964696
2020,129197284,20,2000,,143964703
2020,129197284,13,120,,143964704
2020,129197302,20,1250,,143964724
2020,129200995,3,1,,143967905
2020,129197327,4,200,,143964754
2020,129197329,63,5,,143964757
2020,129201013,10,,,143964768
2020,129197342,17,45,,143964778
2020,129197341,13,200,,143964777
2020,129201022,3,5000,,143967937
2020,129197369,15,1500,,143964798
2020,129201110,3,150,,143968040
2020,131792656,3,2700,,147214633
2020,131792646,52,0,,147214624
2020,131792678,20,9045,,147214661
2020,131792709,20,4000,,147217664
2020,131792720,7,4477,,147217668
2020,131792754,20,1400,,147214734
2020,131792758,57,150,,147217706
2020,131792766,38,200,,147214747
2020,131788835,63,50,,147217721
2020,131788835,20,170,,147217719
2020,131788841,63,40,,147217729
2020,131792794,62,741,,147214777
2020,131792850,20,8,,147214855
2020,131788913,63,25,,147214872
2020,131788912,20,5,,147214869
2020,131792879,19,300,,147217828
2020,131792897,3,300,,147214914
2020,131792910,8,52,,147214929
2020,131792911,8,37,04-OCT-20,147214930
2020,131792915,8,10,,147214934
2020,131792945,62,300,,147214972
2020,131788962,20,20,,147214979
2020,131792960,10,,,147217874
2020,131788978,4,1700,,147217883
2020,131792966,47,0,08-OCT-20,147217891
2020,131788984,6,650,,147214992
2020,131788984,47,0,,147214994
2020,131788984,25,20,,147214993
2020,131792966,25,20,08-OCT-20,147217890
2020,131792966,6,450,08-OCT-20,147217889
2020,131788996,10,,,147215002
2020,131792978,10,,,147217910
2020,128431814,8,26,,143035722
2020,128431849,63,50,,143035762
2020,128431998,10,,,143035903
2020,128432012,9,0,,143035925
2020,128432012,51,0,,143035921
2020,128432012,25,20,,143035918
2020,128432336,8,1,11-APR-20,143036281
2020,128432337,8,1,,143036282
2020,128432558,61,300,,143036522
2020,128432654,19,30,,143036622
2020,128432672,4,800,,143036646
2020,128432963,20,885,,143036992
2020,128433032,31,100,,143037067
2020,128433041,4,500,,143037076
2020,128433048,10,100,,143037084
2020,128431667,67,1,,143035546
2020,128431679,21,1,,143035558
2020,128431706,45,600,,143035594
2020,128431706,17,6000,,143035592
2020,128431706,20,8500,,143035590
2020,128431715,35,25,,143035607
2020,128431774,35,1,,143035681
2020,128431883,38,60,,143035801
2020,128431968,61,500,,143035880
2020,128432070,20,180,,143035990
2020,128432082,63,135,,143036002
2020,128432108,9,0,02-MAR-20,143036034
2020,128432107,9,0,,143036032
2020,128432122,63,400,,143036047
2020,128432125,3,7000,26-JUN-20,143036050
2020,128432124,3,7000,,143036049
2020,128432130,16,100,,143036057
2020,128432156,10,,,143036078
2020,128432157,16,50,,143036080
2020,128432171,6,20,,143036092
2020,128432207,16,54,,143036131
2020,128432216,42,250,,143036141
2020,128432271,20,223,,143036211
2020,128432326,20,100,,143036270
2020,128432420,19,16,,143036381
2020,128432423,19,15,,143036384
2020,128432489,63,2000,,143036454
2020,128432544,51,0,,143036510
2020,128432586,56,120,,143036554
2020,128432583,31,500,,143036550
2020,128432839,35,100,,143036847
2020,128432858,2,5,,143036866
2020,128432873,54,500,,143036880
2020,128432952,3,899,,143036976
2020,128432966,33,50,,143036995
2020,128433103,20,1,,143037150
2020,128433126,42,60,,143037174
2020,128433133,25,50,,143037182
2020,128433137,3,100,,143037187
2020,128433151,38,500,,143037201
2020,127660922,3,45000,,142031764
2020,127665894,20,12000,,142045248
2020,127665924,37,876,,142045284
2020,127663589,20,2,,142045079
2020,127663796,19,20,,142039690
2020,127663801,6,400,06-MAY-20,142045317
2020,127663800,37,1000,,142039693
2020,127663800,36,1000,,142039694
2020,127663801,36,1000,06-MAY-20,142039695
2020,127663801,37,1000,06-MAY-20,142045316
2020,127663800,6,400,,142045315
2020,127665964,45,10,,142045340
2020,127666023,20,2850,,142039789
2020,127663882,8,228,,142045396
2020,127663923,7,392,,142039833
2020,128431745,51,0,,143035642
2020,128431680,21,1,18-MAR-20,143035559
2020,128431745,63,401,,143035638
2020,128431745,9,0,,143035643
2020,128431745,20,10,,143035639
2020,128431962,20,299,,143035875
2020,128432065,8,100,,143035984
2020,128432091,20,1500,,143036009
2020,128432364,45,1,,143036309
2020,128432539,19,15855,,143036504
2020,128432655,20,524,,143036624
2020,128432683,16,280,,143036643
2020,128432683,38,50,,143036650
2020,128432686,60,1200,14-JUN-20,143036671
2020,128432683,21,50,,143036649
2020,128432683,17,370,,143036644
2020,128432683,20,200,,143036647
2020,128432686,16,240,14-JUN-20,143036667
2020,128432686,51,0,22-JUN-20,143036670
2020,128432686,21,1,22-JUN-20,143036668
2020,128432683,60,1200,,143036653
2020,128432683,51,0,,143036652
2020,128432703,38,1323,,143036692
2020,128432745,10,,,143036734
2020,126000145,52,0,,139911023
2020,126000197,63,2212,,139917781
2020,126004955,63,300,,139911111
2020,126004955,20,150,,139911110
2020,126005007,10,,,139917878
2020,126005075,3,150,,139917946
2020,126000377,20,85,,139911244
2020,126000384,61,1050,,139917973
2020,126000391,10,,,139911260
2020,126000412,24,15000,,139911277
2020,126000417,42,100,,139911284
2020,126000419,20,2000,,139911286
2020,126000436,19,247,,139911306
2020,126000468,19,3,06-APR-20,139911336
2020,126000467,19,3,,139918049
2020,126000476,64,4500,,139911343
2020,126000476,63,4500,,139911341
2020,126000410,52,0,,139911276
2020,126000416,17,1600,,139911283
2020,126000425,3,4000,29-MAR-20,139911291
2020,126000424,3,4000,,139911290
2020,126000427,63,30,,139911293
2020,126000430,38,500,,139911296
2020,126000438,36,5000,,139911307
2020,126000461,10,5,,139911332
2020,126000466,7,400,,139911335
2020,126000471,19,5,,139911337
2020,126000473,19,5,06-APR-20,139911339
2020,126000479,20,16502,,139911345
2020,126000480,20,259,,139911346
2020,127665693,10,,,142039419
2020,127665910,37,10000,,142045265
2020,127665911,37,2000,02-MAY-20,142045267
2020,127665960,36,250,,142039715
2020,127665960,54,665,,142039714
2020,127665960,50,70,,142045336
2020,127663857,61,3000,,142045373
2020,127665996,6,67,,142039761
2020,127666001,10,,,142039766
2020,127666011,63,14,,142039775
2020,127666012,63,14,20-APR-20,142039776
2020,127666032,20,30,,142045399
2020,127663902,8,10,29-MAR-20,142039822
2020,127666054,8,10,,142039820
2020,127663933,20,20,,142045445
2020,128431747,37,500,,143035645
2020,128431759,63,12,,143035665
2020,128432100,63,100,,143036026
2020,128432185,10,50,,143036111
2020,128432339,10,,,143036285
2020,128432749,4,400,,143036748
2020,128432862,7,300,,143036871
2020,128433039,63,3000,,143037074
2020,128433135,38,400,,143037184
2020,128433159,61,45,,143037211
2020,128433159,17,35,,143037207
2020,126004887,2,6,,139917738
2020,126000213,63,150,,139911093
2020,126000265,10,12,,139917857
2020,126005030,8,10,,139917896
2020,130885893,22,0,,146090379
2020,130881799,55,320,,146090391
2020,130885967,36,700,,146090457
2020,130881916,7,369,,146092891
2020,130881919,38,5,,146092894
2020,130881920,3,1200,,146092895
2020,130881988,17,16,,146090582
2020,130886087,62,5000,,146090589
2020,126931791,8,27,,141103149
2020,126931791,44,18,,141103150
2020,126000277,3,900,,139911162
2020,126005059,3,250,,139917927
2020,126932151,33,500,,141103601
2020,126934854,20,954,,141108701
2020,126932266,20,500,,141108711
2020,130885864,62,300,,146090348
2020,130881812,2,80,,146092785
2020,130885973,36,450,,146090460
2020,130885988,10,1000,,146092872
2020,130886012,6,15,,146090510
2020,130881927,10,,,146092899
2020,130881937,30,70,,146090526
2020,130886053,63,25,,146090553
2020,126929212,29,75,,141108043
2020,127666038,9,0,28-MAY-20,142039804
2020,127666034,9,0,,142039801
2020,127666034,20,50,,142045400
2020,127666049,16,25,,142039816
2020,128431645,8,25,,143035527
2020,128431775,63,450,,143035682
2020,128431826,8,20,,143035735
2020,128431971,20,10000,,143035879
2020,128431974,20,10000,29-JUN-20,143035885
2020,128431987,16,20,,143035897
2020,128432016,3,1278,,143035930
2020,128432028,8,70,16-JUN-20,143035946
2020,128432023,8,70,,143035940
2020,128432252,22,0,,143036186
2020,128432252,21,1,,143036185
2020,128432251,21,1,,143036182
2020,128432251,22,0,,143036184
2020,128432255,22,0,14-JUN-20,143036193
2020,128432255,21,1,14-JUN-20,143036190
2020,128432265,42,100,,143036204
2020,128432359,8,50,,143036304
2020,128432504,63,30,,143036469
2020,128432810,4,1,,143036818
2020,128432851,10,,,143036858
2020,128432888,54,3,,143036898
2020,128433096,63,24,,143037145
2020,127661264,20,665,,142032153
2020,129873223,52,0,,144812040
2020,129874927,10,,,144816811
2020,129873232,31,100,,144816818
2020,129873239,11,2,,144816835
2020,129873239,10,,,144816836
2020,127663576,16,370,,142039384
2020,127663576,7,350,,142045055
2020,127663576,13,500,,142039383
2020,127663576,17,10164,,142045057
2020,127663576,6,200,,142045054
2020,127663644,20,300,,142039497
2020,127665860,2,5,,142039613
2020,127665860,8,10,,142039612
2020,127665878,20,40,,142039629
2020,127665909,10,,,142045263
2020,127665919,29,100,,142039669
2020,127663809,63,20,,142039713
2020,127663841,16,500,,142039731
2020,127665990,8,57,,142039756
2020,127666076,8,267,,142045443
2020,127663937,22,0,,142039852
2020,128431925,12,1800,,143035838
2020,128432034,7,128,15-JUN-20,143035950
2020,128432026,7,128,,143035942
2020,128432064,3,1200,,143035982
2020,128432227,10,,,143036152
2020,128432245,63,15,,143036175
2020,128432291,4,150,,143036234
2020,128432289,4,150,07-JUL-20,143036231
2020,128432329,8,24,,143036276
2020,127659027,13,419,,142036119
2020,127665947,20,7000,,142039700
2020,127663829,38,500,,142045347
2020,127663869,20,260,,142045385
2020,127666026,20,100,,142039794
2020,127666040,38,50,,142039809
2020,127666045,10,,,142039811
2020,127663920,24,2500,,142039832
2020,127665848,16,20,,142039600
2020,127663755,16,105,,142039660
2020,127665939,36,20,,142045309
2020,127665939,25,20,,142045307
2020,127665944,61,50,,142045320
2020,127666019,63,200,,142045388
2020,127663889,10,,,142039808
2020,127663905,61,1000,12-APR-20,142045417
2020,127663903,61,1000,,142045415
2020,127665835,7,280,,142039587
2020,127665843,4,1,,142039594
2020,127665854,16,20,,142039605
2020,127665858,16,20,,142039611
2020,130885066,10,,,146086396
2020,128431671,31,2000,,143035549
2020,128431834,8,81,,143035747
2020,128431859,63,100,,143035771
2020,128431929,63,300,,143035843
2020,128432010,45,60,,143035922
2020,128432024,20,100,,143035939
2020,128432024,25,20,,143035943
2020,128432033,10,,,143035938
2020,128432051,51,0,,143035970
2020,128432051,25,10,,143035969
2020,128432193,3,200,,143036118
2020,128432374,54,1000,,143036319
2020,128432624,20,227,,143036591
