"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,131584586,1,11,15468912
2020,4,131581559,1,11,15482486
2020,4,131581918,1,11,15468956
2020,13,131584912,1,11,15482516
2020,4,131581995,1,11,15468969
2020,5,131582425,20,1,15482569
2020,5,131581842,1,11,15482505
2020,2,131582027,1,11,15468976
2020,13,131582027,1,11,15468975
2020,5,131582193,3,1,15469004
2020,4,131584947,1,11,15468968
2020,2,131585949,446.199,1,15469077
2020,2,131788820,2,9,15508788
2020,4,132980890,1,11,15793095
2020,16,132980890,1,11,15793094
2020,4,131792737,,,15508781
2020,16,131792648,,,15508779
2020,5,136045789,896,1,16323279
2020,2,136045791,1.5,1,16323282
2020,4,136045988,8.439,1,16318419
2020,8,136041362,1,11,16323334
2020,5,136041637,135.199,1,16318473
2020,1,132980897,1,11,15793096
2020,2,132985037,6.5,1,15778741
2020,4,132985037,1,1,15793181
2020,4,132985091,123.29,1,15793183
2020,4,132984691,10,9,15793139
2020,4,132981031,1,11,15778723
2020,16,132984890,1,1,15793167
2020,1,132984890,8.25,1,15793166
2020,8,132981378,1,11,15793201
2020,16,132981378,1,11,15793202
2020,1,132981378,1,1,15778753
2020,8,132980757,6,9,15793074
2020,17,132979001,1,9,15778655
2020,18,132979001,,,15793031
2020,4,132979001,6,9,15793030
2020,4,132984680,1,11,15793135
2020,4,132985258,11,9,15793196
2020,5,132980595,,,15793035
2020,12,132979212,1,1,15793066
2020,8,132984726,1,11,15793147
2020,2,132985247,1,1,15793194
2020,4,132985247,135,9,15793193
2020,4,132981333,10,9,15778745
2020,12,132981536,0.7,1,15778762
2020,4,132978983,2,9,15793021
2020,1,132979512,1,11,15793097
2020,5,132984665,4.559,1,15793131
2020,15,132981029,120,5,15793142
2020,1,132984755,1,11,15793151
2020,4,132984755,1,11,15793152
2020,1,132985376,1.399,1,15793208
2020,16,132979183,10,1,15793058
2020,16,132979110,33,9,15793042
2020,1,132979184,10,1,15793059
2020,4,132984902,4,9,15793169
