"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2020,8523008,20533,1,2020,"I",,"Y","G","C","2020_01_VT0080000_NIBRS",69839193,0
2020,8497477,20533,2,2020,"I",,"Y","G","C","2020_02_VT0080000_NIBRS",84902026,0
2020,8523056,20533,3,2020,"I",,"Y","G","C","2020_03_VT0080000_NIBRS",84902038,0
2020,8552027,20533,4,2020,"I",,"Y","G","C","2020_04_VT0080000_NIBRS",84898426,0
2020,8506022,20533,5,2020,"I",,"Y","G","C","2020_05_VT0080000_NIBRS",84898417,0
2020,8477359,20533,6,2020,"I",,"Y","G","C","2020_06_VT0080000_NIBRS",90482998,0
2020,8561060,20533,7,2020,"I",,"Y","G","C","2020_07_VT0080000_NIBRS",95433649,0
2020,8556747,20533,8,2020,"I",,"Y","G","C","2020_08_VT0080000_NIBRS",88280583,0
2020,8531124,20533,9,2020,"I",,"Y","G","C","2020_09_VT0080000_NIBRS",88285402,0
2020,8529192,20533,10,2020,"I",,"Y","G","C","2020_10_VT0080000_NIBRS",88280588,0
2020,8542848,20533,11,2020,"I",,"Y","G","C","2020_11_VT0080000_NIBRS",95433675,0
2020,8515503,20533,12,2020,"I",,"Y","G","C","2020_12_VT0080000_NIBRS",95438014,0
2020,8562460,20587,1,2020,"I",,"Y","G","C","2020_01_VTVSP0900_NIBRS",95431509,0
2020,8547373,20587,2,2020,"I",,"Y","G","C","2020_02_VTVSP0900_NIBRS",95431993,0
2020,8501138,20587,3,2020,"I",,"Y","G","C","2020_03_VTVSP0900_NIBRS",80656188,0
2020,8554143,20587,4,2020,"I",,"Y","G","C","2020_04_VTVSP0900_NIBRS",80656213,0
2020,8516521,20587,5,2020,"I",,"Y","G","C","2020_05_VTVSP0900_NIBRS",83101668,0
2020,8497815,20587,6,2020,"I",,"Y","G","C","2020_06_VTVSP0900_NIBRS",92723503,0
2020,8499352,20587,7,2020,"I",,"Y","G","C","2020_07_VTVSP0900_NIBRS",88278841,0
2020,8560218,20587,8,2020,"I",,"Y","G","C","2020_08_VTVSP0900_NIBRS",92723510,0
2020,8560247,20587,9,2020,"I",,"Y","G","C","2020_09_VTVSP0900_NIBRS",90482051,0
2020,8486605,20587,10,2020,"I",,"Y","G","C","2020_10_VTVSP0900_NIBRS",95431478,0
2020,8484918,20587,11,2020,"I",,"Y","G","C","2020_11_VTVSP0900_NIBRS",92723531,0
2020,8503621,20587,12,2020,"I",,"Y","G","C","2020_12_VTVSP0900_NIBRS",95431485,0
2020,8535010,20579,1,2020,"I",,"Y","G","C","2020_01_VTVSP0100_NIBRS",67212251,0
2020,8485064,20579,2,2020,"I",,"Y","G","C","2020_02_VTVSP0100_NIBRS",80657628,0
2020,8512531,20579,3,2020,"I",,"Y","G","C","2020_03_VTVSP0100_NIBRS",80661887,0
2020,8495490,20579,4,2020,"I",,"Y","G","C","2020_04_VTVSP0100_NIBRS",80661848,0
2020,8512584,20579,5,2020,"I",,"Y","G","C","2020_05_VTVSP0100_NIBRS",90479004,0
2020,8521510,20579,6,2020,"I",,"Y","G","C","2020_06_VTVSP0100_NIBRS",80661926,0
2020,8500825,20579,7,2020,"I",,"Y","G","C","2020_07_VTVSP0100_NIBRS",95436910,0
2020,8494892,20579,8,2020,"I",,"Y","G","C","2020_08_VTVSP0100_NIBRS",88278977,0
2020,8535944,20579,9,2020,"I",,"Y","G","C","2020_09_VTVSP0100_NIBRS",95432423,0
2020,8518749,20579,10,2020,"I",,"Y","G","C","2020_10_VTVSP0100_NIBRS",88282814,0
2020,8539366,20579,11,2020,"I",,"Y","G","C","2020_11_VTVSP0100_NIBRS",95432428,0
2020,8505098,20579,12,2020,"I",,"Y","G","C","2020_12_VTVSP0100_NIBRS",95432432,0
2020,8528608,20517,1,2020,"I",,"Y","G","C","2020_01_VT0040500_NIBRS",92722321,0
2020,8480845,20517,2,2020,"I",,"Y","G","C","2020_02_VT0040500_NIBRS",95432820,0
2020,8559618,20517,3,2020,"I",,"Y","G","C","2020_03_VT0040500_NIBRS",92716479,0
2020,8544313,20517,4,2020,"I",,"Y","G","C","2020_04_VT0040500_NIBRS",92722351,0
2020,8484329,20517,5,2020,"I",,"Y","G","C","2020_05_VT0040500_NIBRS",92722356,0
2020,8559698,20517,6,2020,"I",,"Y","G","C","2020_06_VT0040500_NIBRS",90479608,0
2020,8561667,20517,7,2020,"I",,"Y","G","C","2020_07_VT0040500_NIBRS",95432847,0
2020,8505441,20517,8,2020,"I",,"Y","G","C","2020_08_VT0040500_NIBRS",95432866,0
2020,8481664,20517,9,2020,"I",,"Y","G","C","2020_09_VT0040500_NIBRS",92716501,0
2020,8490060,20517,10,2020,"I",,"Y","G","C","2020_10_VT0040500_NIBRS",95437303,0
2020,8572368,20517,11,2020,"I",,"Y","G","C","2020_11_VT0040500_NIBRS",95432957,0
2020,8498621,20517,12,2020,"I",,"Y","G","C","2020_12_VT0040500_NIBRS",95437352,0
2020,8551947,20589,1,2020,"I",,"Y","G","C","2020_01_VTVSP1100_NIBRS",75604105,0
2020,8557476,20589,2,2020,"I",,"Y","G","C","2020_02_VTVSP1100_NIBRS",71653202,0
2020,8560941,20589,3,2020,"I",,"Y","G","C","2020_03_VTVSP1100_NIBRS",80655735,0
2020,8514633,20589,4,2020,"I",,"Y","G","C","2020_04_VTVSP1100_NIBRS",80655745,0
2020,8553999,20589,5,2020,"I",,"Y","G","C","2020_05_VTVSP1100_NIBRS",92723128,0
2020,8548707,20589,6,2020,"I",,"Y","G","C","2020_06_VTVSP1100_NIBRS",88282449,0
2020,8509441,20589,7,2020,"I",,"Y","G","C","2020_07_VTVSP1100_NIBRS",83100037,0
2020,8513717,20589,8,2020,"I",,"Y","G","C","2020_08_VTVSP1100_NIBRS",90478577,0
2020,8532536,20589,9,2020,"I",,"Y","G","C","2020_09_VTVSP1100_NIBRS",95431863,0
